date,temp_max,temp_min,rel_humedity,pressure,evaporation,sunshine,wind_speed,v_tension,dew point,temp_average
2019/01/01,32.8,21.0,68,0.0,6.24,9.10,57,24.3,20.6,27.0
2019/01/02,33.4,20.0,62,0.0,5.96,8.15,50,22.4,19.3,27.2
2019/01/03,32.8,23.2,63,0.0,4.58,5.00,45,23.0,19.7,27.3
2019/01/04,33.3,23.0,66,0.0,5.54,5.15,51,25.0,21.1,28.1
2019/01/05,34.4,23.0,69,0.0,5.18,8.30,55,26.4,22.0,28.1
2019/01/06,33.6,24.6,68,0.0,5.08,6.00,43,26.4,22.0,28.4
2019/01/07,35.0,23.6,65,0.0,5.50,7.10,58,26.2,21.8,29.0
2019/01/08,32.0,24.0,75,0.0,4.54,0.35,35,26.6,22.1,26.9
2019/01/09,32.8,24.2,74,0.0,2.40,2.25,34,26.9,22.3,27.4
2019/01/10,31.6,24.2,73,0.0,4.56,0.45,30,25.8,21.6,26.9
2019/01/11,33.0,24.0,65,0.0,3.00,2.50,35,25.0,21.1,28.2
2019/01/12,33.0,24.0,67,0,1.50,1.25,25,22.2,19.2,25.8
2019/01/13,33.8,22.0,69,0.0,7.12,5.00,60,24.6,20.8,27.0
2019/01/14,34.2,22.8,58,0.0,6.52,8.30,52,23.4,20.0,29.2
2019/01/15,34.6,23.0,58,0.0,7.70,6.55,51,23.2,19.9,28.9
2019/01/16,34.4,24.0,58,0.0,4.56,7.00,49,23.5,20.1,29.2
2019/01/17,34.2,24.4,70,0.0,6.04,7.00,49,27.2,22.5,28.4
2019/01/18,33.2,23.4,80,3.8,6.76,4.45,31,27.7,22.7,26.4
2019/01/19,33.4,20.0,73,9.3,1.20,2.30,38,27.1,22.4,27.6
2019/01/20,33.4,20.0,76,5.1,2.70,5.00,50,25.9,21.7,26.3
2019/01/21,32.8,23.4,60,0.0,8.86,4.15,35,22.4,19.3,27.7
2019/01/22,34.6,24.2,58,0.0,3.00,8.15,54,23.6,20.2,29.2
2019/01/23,33.4,23.6,60,0.0,2.64,4.00,34,23.0,19.7,28.3
2019/01/24,34.0,25.2,58,0.0,5.80,6.00,39,23.1,19.8,28.8
2019/01/25,33.6,24.4,62,0.0,0.56,*,40,25.1,21.2,29.1
2019/01/26,33.6,24.8,64,0.0,3.30,1.20,35,24.8,20.9,28.3
2019/01/27,35.0,24.2,59,0.0,5.90,4.55,38,24.1,20.5,29.4
2019/01/28,35.4,24.8,59,0.0,6.54,6.55,40,24.2,20.6,29.5
2019/01/29,35.4,24.4,60,0.0,4.36,6.00,49,24.8,20.9,29.5
2019/01/30,32.0,24.2,80,0.8,2.64,2.55,36,27.0,22.3,26.1
2019/01/31,35.0,24.2,54,0.5,5.66,6.00,51,23.3,20.0,30.2
2019/01/01,34.6,23.2,58,0.0,5.08,7.45,48.0,23.4,20.0,29.2
2019/01/02,37.6,23.0,57,0.0,5.00,7.30,38.0,22.7,19.5,28.8
2019/01/03,36.3,23.4,52,0.0,6.62,8.40,46.0,21.3,18.5,29.5
2019/01/04,32.8,25.0,68,0.0,3.14,2.00,33.0,26.5,22.0,28.5
2019/01/05,31.8,24.6,71,0.0,3.84,3.00,42.0,26.8,23.7,27.9
2019/01/06,32.6,23.0,74,0.0,3.20,2.00,47.0,27.8,22.8,27.8
2019/01/07,35.2,23.4,61,0.0,4.88,6.15,49.0,24.9,21.0,29.4
2019/01/08,35.4,23.6,58,0.0,5.58,8.10,50.0,24.1,20.5,29.6
2019/01/09,35.3,23.0,54,0.0,6.14,6.00,53.0,22.0,19.3,29.6
2019/01/10,35.6,21.8,52,0.0,7.24,5.00,55.0,21.8,18.9,29.7
2019/01/11,35.2,23.2,49,0.0,8.42,9.40,58.0,20.7,18.1,29.9
2019/01/12,36.0,23.4,50,0,6.58,10.15,54.0,20.7,18.1,29.7
2019/01/13,36.4,25.2,48,0.0,5.58,9.30,60.0,21.4,18.6,30.7
2019/01/14,35.4,23.2,59,1.2,7.56,9.00,39.0,24.2,20.6,29.5
2019/01/15,36.8,23.6,50,0.0,6.92,10.05,53.0,21.2,18.5,30.0
2019/01/16,36.8,23.4,66,1.2,4.20,5.10,47.0,27.3,22.5,29.6
2019/01/17,36.6,23.2,72,0.0,5.84,7.25,61.0,27.2,22.5,28.0
2019/01/18,33.4,24.4,63,0.0,3.32,1.55,30.0,24.8,21.0,28.6
2019/01/19,35.6,25.2,49,0.0,7.30,6.40,57.0,34.9,26.6,30.7
2019/01/20,36.4,25.4,50,0.0,7.04,7.20,56.0,22.1,19.1,30.6
2019/01/21,36.6,25.4,49,0.0,7.76,8.10,54.0,22.2,19.2,31.1
2019/01/22,35.6,25.6,52,0.0,5.06,5.40,51.0,23.3,19.9,30.9
2019/01/23,35.6,21.4,57,0.0,3.24,5.55,68.0,24.5,20.8,30.3
2019/01/24,35.6,23.0,58,0.0,6.90,1.05,45.0,22.2,19.2,28.3
2019/01/25,35.6,22.8,50,0.0,8.84,10.00,68.0,20.8,18.1,29.6
2019/01/26,37.0,21.8,44,0.0,7.16,8.30,72.0,19.2,16.9,30.5
2019/01/27,35.8,25.4,42,0.0,7.30,7.15,63.0,18.1,16.0,30.4
2019/01/28,36.6,23.8,49,0.0,6.22,5.50,45.0,20.7,18.1,30.0
2019/03/01,36.8,25.8,50,0.0,4.92,5.30,57,22.9,19.7,31.4
2019/03/02,38.0,24.0,60,0.0,3.30,3.00,64,25.5,21.4,30.1
2019/03/03,34.2,23.0,71,0.0,2.58,0.10,38,24.6,20.9,26.6
2019/03/04,35.4,23.0,60,0.0,5.42,5.15,33,25.0,21.1,29.6
2019/03/05,34.4,25.4,53,0.0,3.58,1.25,32,22.9,19.7,30.2
2019/03/06,34.6,26.0,59,0.0,4.44,2.50,37,25.9,21.7,30.8
2019/03/07,36.0,25.2,61,0.0,6.02,3.50,56,26.3,21.9,30.2
2019/03/08,35.0,23.6,73,0.0,3.28,3.10,70,27.5,22.6,27.9
2019/03/09,34.0,21.0,89,0.0,nan,3.05,53,29.7,23.9,25.8
2019/03/10,34.0,23.4,87,39.0,nan,0.50,71,28.1,23.6,25.3
2019/03/11,29.4,22.0,91,52.0,2.06,1.00,54,27.8,22.8,24.4
2019/03/12,30.2,22.2,77,0,2.48,0.00,26,26.5,23.2,26.4
2019/03/13,33.4,23.6,66,0.0,4.26,2.40,36,25.1,21.2,28.0
2019/03/14,33.4,24.4,69,0.0,4.06,3.15,41,27.5,22.6,28.8
2019/03/15,27.4,23.8,93,0.0,1.44,0.00,40,29.0,23.5,24.7
2019/03/16,34.2,23.0,64,1.1,0.20,4.10,36,25.5,21.4,28.9
2019/03/17,32.6,23.2,81,0.0,3.18,2.30,59,28.1,23.0,26.6
2019/03/18,30.8,24.0,94,0.4,2.34,1.30,36,30.0,24.1,25.1
2019/03/19,32.4,23.6,75,17.3,nan,0.55,52,26.3,21.9,26.7
2019/03/20,31.0,22.0,82,58.5,1.62,1.20,17,26.9,22.3,25.6
2019/03/21,31.4,24.0,69,0.0,2.06,1.40,37,25.4,21.3,27.5
2019/03/22,30.8,23.2,77,0.0,1.36,1.30,16,26.6,22.1,26.5
2019/03/23,30.8,24.0,84,0.0,2.64,0.00,42,29.2,23.6,26.6
2019/03/24,32.3,23.0,71,0.0,3.24,0.55,23,24.8,21.0,26.7
2019/03/25,33.8,23.0,61,0.0,5.28,6.05,18,23.7,20.3,28.4
2019/03/26,34.6,25.2,52,0.0,5.92,8.15,24,21.7,18.8,29.7
2019/03/27,34.6,23.6,60,0.0,6.20,8.30,46,23.9,20.4,28.9
2019/03/28,31.8,22.4,78,5.3,4.18,5.45,69,27.7,22.8,27.0
2019/03/29,30.2,23.0,81,0.0,1.74,0.45,13,28.4,23.2,26.7
2019/03/30,28.2,22.4,93,8.4,0.86,0.20,24,29.6,23.8,25.1
2019/03/31,29.2,24.0,93,0.0,2.62,0.00,32,29.8,24.0,25.1
2019/04/01,32.8,21.8,75,0.0,4.18,5.30,36,26.2,21.9,26.6
2019/04/02,32.4,23.4,68,0.0,4.44,2.50,35,24.2,20.5,27.0
2019/04/03,31.4,24.0,62,0.0,3.60,4.00,14,22.9,19.7,27.5
2019/04/04,33.2,24.8,62,0.0,2.92,5.40,28,24.2,20.5,28.6
2019/04/05,31.8,25.6,65,0.0,0.08,0.55,12,25.0,21.1,28.3
2019/04/06,35.2,25.0,65,0.0,3.10,4.30,28,25.9,21.7,28.8
2019/04/07,34.4,25.0,59,0.0,5.84,5.15,38,23.7,20.2,29.0
2019/04/08,32.4,23.6,80,0.0,6.56,5.00,44,26.3,21.9,25.6
2019/04/09,31.0,22.6,76,14.2,2.80,5.40,25,27.2,22.5,27.1
2019/04/10,32.8,23.0,77,0.0,nan,6.30,50,26.7,22.2,26.6
2019/04/11,31.8,22.4,79,68.0,4.04,5.00,37,28.0,23.0,26.9
2019/04/12,31.3,23.2,79,5.4,0.58,1.50,39,26.5,22.1,25.9
2019/04/13,32.0,23.0,77,5.2,3.38,2.40,19,26.6,22.1,26.4
2019/04/14,33.2,21.4,79,0.8,6.80,8.35,66,26.3,21.9,25.9
2019/04/15,29.8,19.8,95,13.8,0.88,0.25,33,30.5,24.4,25.2
2019/04/16,31.2,23.0,87,2.1,4.28,4.40,54,30.7,24.5,26.9
2019/04/17,31.4,23.2,83,5.2,2.70,5.01,44,29.4,23.7,26.8
2019/04/18,29.4,21.0,98,2.5,2.06,0.00,16,27.6,22.7,23.0
2019/04/19,31.6,21.4,82,10.0,4.50,4.00,29,28.5,23.2,26.5
2019/04/20,31.6,23.0,97,28.0,nan,3.00,29,30.3,24.3,24.7
2019/04/21,31.4,22.0,85,32.5,4.44,4.00,46,29.4,23.8,26.5
2019/04/22,30.0,23.0,70,10.2,2.46,3.50,23,23.2,19.9,25.7
2019/04/23,32.4,23.4,73,1.5,4.94,8.20,30,27.9,22.9,28.1
2019/04/24,29.2,23.2,88,24.4,3.30,1.00,19,28.1,23.6,25.2
2019/04/25,29.4,23.4,88,0.0,1.54,2.10,30,29.6,23.9,26.0
2019/04/26,31.0,23.2,81,0.0,3.93,4.15,28,27.9,22.9,26.4
2019/04/27,30.2,22.8,89,29.6,6.81,3.20,30,28.9,23.5,25.4
2019/04/28,30.4,22.0,87,3.2,2.68,2.25,27,29.0,23.5,25.9
2019/04/29,31.4,23.2,78,0.0,0.14,2.30,17,27.6,22.7,26.8
2019/04/30,33.0,22.4,70,11.7,63.16,8.45,33,26.7,22.2,28.2
2019/05/01,33.4,22.4,63,0.0,6.76,10.00,32,24.6,20.8,28.6
2019/05/02,33.0,24.4,68,0.0,3.94,3.20,11,26.5,22.1,28.6
2019/05/03,31.0,24.4,84,0.0,3.79,2.35,22,27.6,22.7,25.6
2019/05/04,31.0,22.0,85,13.5,3.61,1.00,35,27.4,22.6,25.2
2019/05/05,31.8,19.0,76,32.0,4.83,6.35,37,26.0,21.7,26.3
2019/05/06,26.4,23.2,97,4.6,1.60,0.15,26,28.9,23.5,24.0
2019/05/07,32.2,23.6,76,15.8,5.34,7.55,58,28.0,22.9,27.6
2019/05/08,30.8,21.8,83,14.0,2.54,5.05,31,28.6,23.3,26.4
2019/05/09,25.6,23.2,99,5.4,1.70,0.00,34,27.4,22.6,22.8
2019/05/10,30.8,21.2,77,25.4,1.12,10.10,30,26.7,22.2,26.6
2019/05/11,32.6,23.0,82,0.0,6.18,6.10,42,27.6,22.7,26.0
2019/05/12,31.4,23.2,78,5.5,nan,6.55,63,28.5,23.2,27.4
2019/05/13,31.2,22.2,88,64.0,4.08,2.35,44,28.1,23.0,25.2
2019/05/14,28.6,22.2,81,19.2,nan,0.20,51,23.6,20.1,23.5
2019/05/15,30.0,21.2,78,34.2,6.22,8.30,36,26.2,21.8,25.9
2019/05/16,30.6,22.2,78,35.0,2.22,6.10,45,25.9,21.7,25.7
2019/05/17,29.2,22.4,89,27.2,1.34,3.50,29,28.3,23.1,25.0
